filepath,label
RC04844/page_1/c1.png,1
RC04844/page_1/c2.png,1
RC04844/page_1/c3.png,1
RC04844/page_1/c4.png,1
RC04844/page_1/c5.png,1
RC04844/page_1/c6.png,0
RC04844/page_1/c8.png,0
RC04844/page_1/c9.png,0
RC04844/page_1/c10.png,1
RC04844/page_1/c11.png,1
RC04844/page_1/c12.png,1
RC04844/page_1/c13.png,0
RC04844/page_1/c14.png,1
RC04844/page_1/c15.png,1
RC04844/page_1/c16.png,1
RC04844/page_1/c17.png,1
RC04844/page_1/c18.png,0
RC04844/page_1/c19.png,1
RC04844/page_1/c20.png,0
RC04844/page_1/c21.png,1
RC04844/page_1/c22.png,1
RC04844/page_1/c23.png,0
RC04844/page_1/c24.png,0
RC04844/page_1/c25.png,0
RC04844/page_1/c26.png,0
RC04844/page_1/c27.png,0
RC04844/page_1/c28.png,0
RC04844/page_1/c29.png,1
RC04844/page_1/c30.png,1
RC04844/page_1/c31.png,1
RC04844/page_1/c32.png,1
RC04844/page_1/c33.png,1
RC04844/page_1/c34.png,0
RC04844/page_1/c35.png,0
RC04844/page_1/c36.png,1
RC04844/page_1/c37.png,1
RC04844/page_1/c38.png,0
RC04844/page_1/c39.png,0
RC04844/page_1/c40.png,1
RC04844/page_1/c41.png,1
RC04844/page_1/c42.png,1
RC04844/page_1/c43.png,1
RC04844/page_1/c44.png,1
RC04844/page_1/c45.png,1
RC04844/page_1/c47.png,1
RC04844/page_1/c48.png,1
RC04844/page_1/c49.png,1
RC04844/page_1/c50.png,0
RC04844/page_1/c51.png,0
RC04844/page_1/c52.png,0
RC04844/page_1/c53.png,0
RC04844/page_1/c54.png,0
RC04844/page_1/c55.png,0
RC04844/page_1/c56.png,1
RC04844/page_1/c57.png,1
RC04844/page_1/c58.png,1
RC04844/page_1/c59.png,1
RC04844/page_1/c60.png,1
RC04844/page_1/c61.png,0
RC04844/page_1/c62.png,1
RC04844/page_1/c63.png,0
RC04844/page_1/c64.png,0
RC04844/page_1/c65.png,0
RC04844/page_1/c66.png,0
RC04844/page_1/c67.png,0
RC04844/page_1/c68.png,1
RC04844/page_1/c69.png,1
RC04844/page_1/c70.png,1
RC04844/page_1/c71.png,1
RC04844/page_1/c72.png,1
RC04844/page_1/c73.png,1
RC04844/page_1/c74.png,1
RC04844/page_1/c75.png,1
RC04844/page_1/c76.png,0
RC04844/page_1/c77.png,0
RC04844/page_1/c78.png,1
RC04844/page_1/c79.png,0
RC04844/page_1/c80.png,0
RC04844/page_1/c81.png,1
RC04844/page_1/c82.png,1
RC04844/page_1/c83.png,1
RC04844/page_1/c84.png,1
RC04844/page_1/c85.png,1
RC04844/page_1/c86.png,1
RC04844/page_1/c87.png,1
RC04844/page_1/c88.png,1
RC04844/page_1/c89.png,1
RC04844/page_1/c90.png,1
RC04844/page_1/c91.png,1
RC04844/page_1/c92.png,0
RC04844/page_1/c93.png,0
RC04844/page_1/c94.png,0
RC04844/page_1/c95.png,0
RC04844/page_1/c96.png,1
RC04844/page_1/c98.png,1
RC04844/page_1/c99.png,1
RC04844/page_1/c100.png,1
RC04844/page_1/c101.png,1
RC04844/page_1/c102.png,1
RC04844/page_1/c103.png,0
