Image_name,Class
C_1_0.jpg,Kanji
C_1_1.jpg,Kana
C_1_2.jpg,Kana
C_1_3.jpg,Kanji
C_1_4.jpg,Kanji
C_1_5.jpg,Kana
C_1_6.jpg,Kanji
C_2_0.jpg,Kanji
C_2_1.jpg,Kanji
C_2_10.jpg,Kanji
C_2_11.jpg,Kanji
C_2_12.jpg,Kana
C_2_13.jpg,Kanji
C_2_14.jpg,Kanji
C_2_15.jpg,Kana
C_2_16.jpg,Kanji
C_2_17.jpg,Kana
C_2_18.jpg,Kanji
C_2_19.jpg,Kanji
C_2_2.jpg,Kanji
C_2_20.jpg,Kanji
C_2_21.jpg,Kana
C_2_22.jpg,Kanji
C_2_23.jpg,Kanji
C_2_24.jpg,Kanji
C_2_25.jpg,Kanji
C_2_26.jpg,Kana
C_2_27.jpg,Kanji
C_2_28.jpg,Kana
C_2_29.jpg,Kanji
C_2_3.jpg,Kanji
C_2_30.jpg,Kanji
C_2_31.jpg,Kana
C_2_32.jpg,Kanji
C_2_33.jpg,Kanji
C_2_34.jpg,Kanji
C_2_35.jpg,Kanji
C_2_36.jpg,Kanji
C_2_37.jpg,Kanji
C_2_38.jpg,Kana
C_2_39.jpg,Kanji
C_2_4.jpg,Kanji
C_2_40.jpg,Kanji
C_2_5.jpg,Kanji
C_2_6.jpg,Kanji
C_2_7.jpg,Kanji
C_2_8.jpg,Kanji
C_2_9.jpg,Kanji
C_3_0.jpg,Kanji
C_3_1.jpg,Kanji
C_3_10.jpg,Kana
C_3_11.jpg,Kanji
C_3_12.jpg,Kanji
C_3_13.jpg,Kanji
C_3_14.jpg,Kana
C_3_15.jpg,Kana
C_3_16.jpg,Kanji
C_3_17.jpg,Kanji
C_3_18.jpg,Kana
C_3_19.jpg,Kana
C_3_2.jpg,Kanji
C_3_20.jpg,Kanji
C_3_21.jpg,Kanji
C_3_22.jpg,Kana
C_3_23.jpg,Kanji
C_3_24.jpg,Kanji
C_3_25.jpg,Kanji
C_3_26.jpg,Kanji
C_3_27.jpg,Kana
C_3_28.jpg,Kanji
C_3_29.jpg,Kanji
C_3_3.jpg,Kana
C_3_30.jpg,Kanji
C_3_31.jpg,Kana
C_3_32.jpg,Kana
C_3_33.jpg,Kana
C_3_34.jpg,Kana
C_3_35.jpg,Kanji
C_3_36.jpg,Kana
C_3_37.jpg,Kanji
C_3_4.jpg,Kana
C_3_5.jpg,Kanji
C_3_6.jpg,Kanji
C_3_7.jpg,Kanji
C_3_8.jpg,Kana
C_3_9.jpg,Kanji
C_4_0.jpg,Kanji
C_4_1.jpg,Kanji
C_4_10.jpg,Kanji
C_4_11.jpg,Kanji
C_4_12.jpg,Kanji
C_4_13.jpg,Kanji
C_4_14.jpg,Kanji
C_4_15.jpg,Kana
C_4_16.jpg,Kana
C_4_17.jpg,Kanji
C_4_18.jpg,Kana
C_4_19.jpg,Kana
C_4_2.jpg,Kanji
C_4_20.jpg,Kanji
C_4_21.jpg,Kanji
C_4_22.jpg,Kanji
C_4_23.jpg,Kana
C_4_24.jpg,Kana
C_4_25.jpg,Kanji
C_4_26.jpg,Kanji
C_4_27.jpg,Kanji
C_4_28.jpg,Kana
C_4_29.jpg,Kana
C_4_3.jpg,Kanji
C_4_30.jpg,Kana
C_4_31.jpg,Kana
C_4_32.jpg,Kanji
C_4_33.jpg,Kanji
C_4_34.jpg,Kanji
C_4_35.jpg,Kana
C_4_36.jpg,Kana
C_4_37.jpg,Kana
C_4_38.jpg,Kanji
C_4_39.jpg,Kanji
C_4_4.jpg,Kanji
C_4_40.jpg,Kanji
C_4_41.jpg,Kanji
C_4_42.jpg,Kanji
C_4_43.jpg,Kanji
C_4_44.jpg,Kana
C_4_45.jpg,Kanji
C_4_46.jpg,Kanji
C_4_47.jpg,Kana
C_4_5.jpg,Kana
C_4_6.jpg,Kana
C_4_7.jpg,Kana
C_4_8.jpg,Kanji
C_4_9.jpg,Kanji
C_5_0.jpg,Kana
C_5_1.jpg,Kanji
C_5_10.jpg,Kana
C_5_11.jpg,Kanji
C_5_12.jpg,Kanji
C_5_13.jpg,Kanji
C_5_14.jpg,Kanji
C_5_15.jpg,Kana
C_5_16.jpg,Kana
C_5_17.jpg,Kanji
C_5_18.jpg,Kanji
C_5_19.jpg,Kanji
C_5_2.jpg,Kanji
C_5_20.jpg,Kanji
C_5_21.jpg,Kanji
C_5_22.jpg,Kanji
C_5_23.jpg,Kanji
C_5_24.jpg,Kanji
C_5_25.jpg,Kanji
C_5_26.jpg,Kanji
C_5_27.jpg,Kanji
C_5_28.jpg,Kanji
C_5_29.jpg,Kanji
C_5_3.jpg,Kanji
C_5_30.jpg,Kanji
C_5_31.jpg,Kanji
C_5_32.jpg,Kanji
C_5_33.jpg,Kanji
C_5_34.jpg,Kana
C_5_35.jpg,Kanji
C_5_36.jpg,Kanji
C_5_37.jpg,Kana
C_5_38.jpg,Kanji
C_5_39.jpg,Kanji
C_5_4.jpg,Kanji
C_5_40.jpg,Kanji
C_5_41.jpg,Kana
C_5_42.jpg,Kanji
C_5_43.jpg,Kanji
C_5_44.jpg,Kanji
C_5_45.jpg,Kanji
C_5_46.jpg,Kanji
C_5_47.jpg,Kanji
C_5_48.jpg,Kanji
C_5_49.jpg,Kanji
C_5_5.jpg,Kana
C_5_50.jpg,Kanji
C_5_51.jpg,Kanji
C_5_52.jpg,Kanji
C_5_53.jpg,Kanji
C_5_54.jpg,Kanji
C_5_6.jpg,Kanji
C_5_7.jpg,Kanji
C_5_8.jpg,Kanji
C_5_9.jpg,Kanji
